Site,Site2,Month,Date,Range,Blooms,Count,rangeabun,rangeabun1,lograngeabun1
AD,Site 6,July,6/24/2020,Native,297,1,0.003367003,1.003367003,0.001459815
AD,Site 6,July,6/24/2020,Non-Native,87639,2,2.28209E-05,1.000022821,9.91087E-06
AD,Site 6,July,6/29/2020,Native,297,0,0,1,0
AD,Site 6,July,6/29/2020,Non-Native,87639,17,0.000193978,1.000193978,8.42352E-05
AD,Site 6,July,6/30/2020,Native,297,5,0.016835017,1.016835017,0.007250494
AD,Site 6,July,6/30/2020,Non-Native,87639,2,2.28209E-05,1.000022821,9.91087E-06
AD,Site 6,July,7/13/2020,Native,297,1,0.003367003,1.003367003,0.001459815
AD,Site 6,July,7/13/2020,Non-Native,87639,1,1.14104E-05,1.00001141,4.95547E-06
AD,Site 6,July,7/16/2020,Native,297,4,0.013468013,1.013468013,0.005810046
AD,Site 6,July,7/16/2020,Non-Native,87639,10,0.000114104,1.000114104,4.95521E-05
AD,Site 6,July,7/19/2020,Native,297,1,0.003367003,1.003367003,0.001459815
AD,Site 6,July,7/19/2020,Non-Native,87639,8,9.12836E-05,1.000091284,3.96421E-05
AD,Site 6,July,7/24/2020,Native,297,0,0,1,0
AD,Site 6,July,7/24/2020,Non-Native,87639,1,1.14104E-05,1.00001141,4.95547E-06
AD,Site 6,July,7/27/2020,Native,297,0,0,1,0
AD,Site 6,July,7/27/2020,Non-Native,87639,1,1.14104E-05,1.00001141,4.95547E-06
AD,Site 6,July,7/29/2020,Native,297,2,0.006734007,1.006734007,0.002914739
AD,Site 6,July,7/29/2020,Non-Native,87639,4,4.56418E-05,1.000045642,1.98215E-05
AD,Site 6,July,8/1/2020,Native,297,5,0.016835017,1.016835017,0.007250494
AD,Site 6,July,8/1/2020,Non-Native,87639,0,0,1,0
AD,Site 6,July,8/4/2020,Native,297,0,0,1,0
AD,Site 6,July,8/4/2020,Non-Native,87639,1,1.14104E-05,1.00001141,4.95547E-06
Barb,Site 1,JulyAugust,7/6/2020,Native,1527,24,0.015717092,1.015717092,0.006772761
Barb,Site 1,JulyAugust,7/6/2020,Non-Native,5,0,0,1,0
Barb,Site 1,JulyAugust,7/17/2020,Native,1527,32,0.020956123,1.020956123,0.009007078
Barb,Site 1,JulyAugust,7/17/2020,Non-Native,5,0,0,1,0
Barb,Site 1,JulyAugust,7/28/2020,Native,1527,21,0.013752456,1.013752456,0.005931919
Barb,Site 1,JulyAugust,7/28/2020,Non-Native,5,0,0,1,0
Boyd,Site 2,JulyAugust,7/2/2020,Native,5114,19,0.003715291,1.003715291,0.001610541
Boyd,Site 2,JulyAugust,7/2/2020,Non-Native,86.5,1,0.011560694,1.011560694,0.004991946
Boyd,Site 2,JulyAugust,7/22/2020,Native,5114,3,0.000586625,1.000586625,0.000254693
Boyd,Site 2,JulyAugust,7/22/2020,Non-Native,86.5,0,0,1,0
Boyd,Site 2,JulyAugust,8/2/2020,Native,5114,2,0.000391083,1.000391083,0.000169812
Boyd,Site 2,JulyAugust,8/2/2020,Non-Native,86.5,0,0,1,0
GM,Site 5,July,7/2/2019,Native,555,6,0.010810811,1.010810811,0.004669878
GM,Site 5,July,7/17/2019,Native,555,5,0.009009009,1.009009009,0.003895044
GM,Site 5,July,7/18/2019,Native,555,2,0.003603604,1.003603604,0.001562212
GM,Site 5,July,7/20/2019,Native,555,11,0.01981982,1.01981982,0.008523448
GM,Site 5,July,7/24/2019,Native,555,4,0.007207207,1.007207207,0.003118825
GM,Site 5,July,7/25/2019,Native,555,10,0.018018018,1.018018018,0.007755465
GM,Site 5,July,7/27/2019,Native,555,17,0.030630631,1.030630631,0.013103046
GM,Site 5,July,7/28/2019,Native,555,13,0.023423423,1.023423423,0.010055353
GM,Site 5,July,8/3/2019,Native,555,7,0.012612613,1.012612613,0.005443332
GM,Site 5,July,8/4/2019,Native,555,2,0.003603604,1.003603604,0.001562212
GM,Site 5,July,8/5/2019,Native,555,31,0.055855856,1.055855856,0.023604633
GM,Site 5,July,8/6/2019,Native,555,15,0.027027027,1.027027027,0.011581873
GM,Site 5,July,8/7/2019,Native,555,37,0.066666667,1.066666667,0.028028724
GM,Site 5,July,8/8/2019,Native,555,5,0.009009009,1.009009009,0.003895044
GM,Site 5,July,8/9/2019,Native,555,4,0.007207207,1.007207207,0.003118825
GM,Site 5,July,7/2/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/17/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/18/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/20/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/24/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/25/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/27/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,7/28/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,8/3/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,8/4/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,8/5/2019,Non-Native,38.57142857,14,0.362962963,1.362962963,0.134484055
GM,Site 5,July,8/6/2019,Non-Native,38.57142857,2,0.051851852,1.051851852,0.021954576
GM,Site 5,July,8/7/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,8/8/2019,Non-Native,38.57142857,0,0,1,0
GM,Site 5,July,8/9/2019,Non-Native,38.57142857,0,0,1,0
Jesse,Site 3,JulyAugust,7/6/2020,Native,597.5,16,0.026778243,1.026778243,0.011476657
Jesse,Site 3,JulyAugust,7/6/2020,Non-Native,126.5,0,0,1,0
Jesse,Site 3,JulyAugust,7/17/2020,Native,597.5,9,0.015062762,1.015062762,0.006492896
Jesse,Site 3,JulyAugust,7/17/2020,Non-Native,126.5,0,0,1,0
Jesse,Site 3,JulyAugust,7/28/2020,Native,597.5,23,0.038493724,1.038493724,0.016403876
Jesse,Site 3,JulyAugust,7/28/2020,Non-Native,126.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/7/2020,Native,597.5,19,0.031799163,1.031799163,0.013595171
Jesse,Site 3,JulyAugust,8/7/2020,Non-Native,126.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/14/2020,Native,597.5,41,0.068619247,1.068619247,0.028822992
Jesse,Site 3,JulyAugust,8/14/2020,Non-Native,126.5,0,0,1,0
Jesse,Site 3,JulyAugust,8/29/2020,Native,597.5,8,0.013389121,1.013389121,0.005776238
Jesse,Site 3,JulyAugust,8/29/2020,Non-Native,126.5,0,0,1,0
Uthe,Site 4,JulyAugust,7/2/2020,Native,787.5,16,0.02031746,1.02031746,0.008735319
Uthe,Site 4,JulyAugust,7/2/2020,Non-Native,1,0,0,1,0
Uthe,Site 4,JulyAugust,7/12/2020,Native,787.5,3,0.003809524,1.003809524,0.001651312
Uthe,Site 4,JulyAugust,7/12/2020,Non-Native,1,2,2,3,0.477121255
Uthe,Site 4,JulyAugust,7/22/2020,Native,787.5,8,0.01015873,1.01015873,0.004389622
Uthe,Site 4,JulyAugust,7/22/2020,Non-Native,1,33,33,34,1.531478917
Uthe,Site 4,JulyAugust,8/2/2020,Native,787.5,2,0.002539683,1.002539683,0.001101572
Uthe,Site 4,JulyAugust,8/2/2020,Non-Native,1,0,0,1,0
Uthe,Site 4,JulyAugust,8/22/2020,Native,787.5,0,0,1,0
Uthe,Site 4,JulyAugust,8/22/2020,Non-Native,1,9,9,10,1
Uthe,Site 4,JulyAugust,8/29/2020,Native,787.5,0,0,1,0
Uthe,Site 4,JulyAugust,8/29/2020,Non-Native,1,19,19,20,1.301029996
