Site	Site2	Month	Date	Color	Blooms	Count	colorabun	colorabun1	logcolorabun1
Barb	Site 1	June	6/17/2020	Pink	34	0	0	1	0
Barb	Site 1	June	6/17/2020	Purple	6	0	0	1	0
Barb	Site 1	June	6/17/2020	White	4	0	0	1	0
Barb	Site 1	June	6/17/2020	Yellow	3	0	0	1	0
Barb	Site 1	June	6/27/2020	Pink	34	0	0	1	0
Barb	Site 1	June	6/27/2020	Purple	6	0	0	1	0
Barb	Site 1	June	6/27/2020	White	4	0	0	1	0
Barb	Site 1	June	6/27/2020	Yellow	3	0	0	1	0
Boyd	Site 2	June	6/4/2020	Purple	302	0	0	1	0
Boyd	Site 2	June	6/4/2020	White	327	0	0	1	0
Boyd	Site 2	June	6/4/2020	Yellow	20	0	0	1	0
Boyd	Site 2	June	6/12/2020	Purple	302	0	0	1	0
Boyd	Site 2	June	6/12/2020	White	327	0	0	1	0
Boyd	Site 2	June	6/12/2020	Yellow	20	0	0	1	0
Boyd	Site 2	June	6/23/2020	Purple	302	0	0	1	0
Boyd	Site 2	June	6/23/2020	White	327	0	0	1	0
Boyd	Site 2	June	6/23/2020	Yellow	20	0	0	1	0
Jesse	Site 3	June	6/8/2020	Orange	1	0	0	1	0
Jesse	Site 3	June	6/8/2020	Pink	1	0	0	1	0
Jesse	Site 3	June	6/8/2020	Purple	276	0	0	1	0
Jesse	Site 3	June	6/8/2020	White	16	0	0	1	0
Jesse	Site 3	June	6/8/2020	Yellow	65	0	0	1	0
Jesse	Site 3	June	6/17/2020	Orange	1	0	0	1	0
Jesse	Site 3	June	6/17/2020	Pink	1	0	0	1	0
Jesse	Site 3	June	6/17/2020	Purple	276	6	0.02173913	1.02173913	0.009340026
Jesse	Site 3	June	6/17/2020	White	16	0	0	1	0
Jesse	Site 3	June	6/17/2020	Yellow	65	0	0	1	0
Jesse	Site 3	June	6/27/2020	Orange	1	6	6	7	0.84509804
Jesse	Site 3	June	6/27/2020	Pink	1	2	2	3	0.477121255
Jesse	Site 3	June	6/27/2020	Purple	276	0	0	1	0
Jesse	Site 3	June	6/27/2020	White	16	0	0	1	0
Jesse	Site 3	June	6/27/2020	Yellow	65	0	0	1	0
Uthe	Site 4	June	6/2/2020	Pink	47	0	0	1	0
Uthe	Site 4	June	6/2/2020	Purple	1	13	13	14	1.146128036
Uthe	Site 4	June	6/2/2020	White	141	0	0	1	0
Uthe	Site 4	June	6/2/2020	Yellow	62	0	0	1	0
Uthe	Site 4	June	6/12/2020	Pink	47	0	0	1	0
Uthe	Site 4	June	6/12/2020	Purple	1	0	0	1	0
Uthe	Site 4	June	6/12/2020	White	141	3	0.021276596	1.021276596	0.009143379
Uthe	Site 4	June	6/12/2020	Yellow	62	0	0	1	0
Uthe	Site 4	June	6/23/2020	Pink	47	0	0	1	0
Uthe	Site 4	June	6/23/2020	Purple	1	0	0	1	0
Uthe	Site 4	June	6/23/2020	White	141	0	0	1	0
Uthe	Site 4	June	6/23/2020	Yellow	62	0	0	1	0
